split,level_carve,level_split,power_carve,power_split,p_screen,count_null,count_alt,ntrial,fp,tp,fdp
0.29999999999999999,0.050000000000000003,0.050000000000000003,1.0,1.0,0.0,-1,-1,-1,-1.0,-1.0,-1.0
0.40000000000000002,0.059121621621621621,0.042229729729729729,0.99470899470899465,0.96523053665910807,0.01623850846292637,2368,2646,189,8.552109287739496,3.6072686656929291,0.70333444033831949
0.5,0.063202791779759598,0.060876308646762314,0.98596201486374901,0.92815854665565645,0.093387314439946023,5158,4844,346,9.1336032388663959,4.7441295546558706,0.65814808331874664
0.55000000000000004,0.062918340026773767,0.053165041116848347,0.98876592890677395,0.89616867873910122,0.17552533992583438,52290,47712,3408,9.3622270292542229,5.2614853728883393,0.6402086400360647
0.59999999999999998,0.057114870210601666,0.048298986550126211,0.98780747751204334,0.83527305282005371,0.29315020558131399,53086,46914,3351,9.3807190971918466,5.7140232700551135,0.62145605860398268
0.65000000000000002,0.061674664285979987,0.052784287467916524,0.98283465928744385,0.75475613974403322,0.43548174509028603,53766,46256,3304,9.3259522868063787,6.1117701331224463,0.60410156583508356
0.69999999999999996,0.059166144431746968,0.05083496147749475,0.9765764978368221,0.63003102740025352,0.56537530266343827,54254,45766,3269,9.3047388446904193,6.3770321687997233,0.59334745014999124
0.75,0.059844995247495793,0.047561599766030561,0.97413831148770913,0.47455757094311313,0.68377693282636243,54708,45318,3237,9.2376425855513311,6.586607520067596,0.58376495087569424
0.80000000000000004,0.056509351256575101,0.04913062536528346,0.96888260254596892,0.28792432814710045,0.79822178315633485,54752,45248,3232,8.9925907631513962,6.7574709804890096,0.57095590541303398
0.84999999999999998,0.053683671977781025,0.050687034059348046,0.96551115036431878,0.1185250607198057,0.87669376693766932,54728,45290,3235,8.7796747967479671,6.8544715447154472,0.56157046281851275
0.87,0.054264419723170684,0.049344641480339242,0.96360523311967683,0.07489683027482659,0.89493949394939498,54474,45556,3254,8.7046204620462042,6.8831133113311331,0.55842758085290323
0.88,0.056013179571663921,0.050814570748672891,0.96284215630096526,0.069423017587164459,0.90758891066928027,54630,45374,3241,8.6858022962755523,6.8963875665079808,0.55741858960534829
0.90000000000000002,0.052509992299512302,0.04961314216567049,0.96011959723871076,0.053027305104867431,0.93308443423319931,54542,45486,3249,8.5907524411257903,6.9290637564618036,0.55353441894892674
0.91000000000000003,0.050907626994583517,0.050724637681159424,0.95790540838365579,0.048353682725790097,0.93185738930419781,54648,45374,3241,8.617883841288096,6.9249568717653824,0.5544600244182174
0.92000000000000004,0.052509992299512302,0.049943163066994242,0.95455145408948916,0.052136037661137752,0.94252539912917266,54542,45458,3247,8.5886792452830196,6.9349782293178519,0.55326389797864584
0.93000000000000005,0.048447893569844788,0.050332594235033258,0.9533251982916412,0.049289636537958682,0.95097185958804753,54120,45892,3278,8.4168842471714527,6.9480707861908906,0.54779751902271401
0.93999999999999995,0.053179360817917694,0.049133904600787023,0.94754601226993862,0.051621384750219108,0.95882352941176474,54382,45640,3260,8.4526470588235298,6.9564705882352937,0.54854841480406935
0.94999999999999996,0.052976716769820222,0.04955054524020041,0.94239349138308115,0.052226401889598463,0.95833333333333337,54288,45724,3266,8.445422535211268,6.955105633802817,0.54838525292940843
0.95999999999999996,0.053255745433117264,0.049278137890394813,0.93644957983193278,0.049982492997198882,0.97027348394768143,54304,45696,3264,8.4063614744351955,6.9693816884661119,0.54672879127677665
0.96999999999999997,0.048171407462135205,0.050424824528998893,0.92458258860455989,0.046427481581585946,0.97675111773472423,54140,45878,3277,8.3385991058122197,6.9758569299552908,0.54449202024133903
0.97999999999999998,0.052870653064263903,0.050636681808027405,0.90768499719210338,0.0510173225625297,0.97236107027344898,53716,46298,3307,8.2119964716259926,6.9705968832696268,0.54088233015725462
0.98999999999999999,0.052732431735269189,0.050263477908390759,0.8622152258515895,0.048712230530412348,0.98167067307692313,54274,45738,3267,8.3740985576923084,6.98046875,0.54538160469667318
1.0,0.050518231302661996,0.050443665647602713,0.79756875592723508,0.049271488921458745,0.98689696247766534,53644,46396,3314,8.1331149493746278,6.9863013698630141,0.53792519351598356
