split,level_carve,level_split,power_carve,power_split,p_screen,count_null,count_alt,ntrial,fp,tp,fdp
0.29999999999999999,0.050000000000000003,0.050000000000000003,1.0,1.0,0.0,-1,-1,-1,-1.0,-1.0,-1.0
0.40000000000000002,0.06721991701244813,0.049792531120331947,0.99382239382239379,0.97374517374517378,0.015405112832042636,2410,2590,185,8.540011657923225,3.6267799150637021,0.70191156038901936
0.5,0.059029126213592235,0.051262135922330095,0.98847262247838619,0.92548373816385343,0.093254501478097288,5150,4858,347,9.1977962913195377,4.7710292932007521,0.65845165262226335
0.55000000000000004,0.059615980179622177,0.052880148652833692,0.9892877822814129,0.89506989825461158,0.18587880744806803,51664,48356,3454,9.2987299537186523,5.3010440210956844,0.6369091720022263
0.59999999999999998,0.059811320754716985,0.05067924528301887,0.98723730111460906,0.83714796222241128,0.29552054915075243,53000,47012,3358,9.3776291472322448,5.7254246237789319,0.62090947231027416
0.65000000000000002,0.060598111227701992,0.049692699745165644,0.98400308787579882,0.76051807693957196,0.43605183924597457,53368,46634,3331,9.2985992931011907,6.0905877732687523,0.60422940165705441
0.69999999999999996,0.058059277304100688,0.050197467980659209,0.97865654052638473,0.63624459866439698,0.5587231136906794,54186,45822,3273,9.2504267668146127,6.3627517924206209,0.59247556362205067
0.75,0.061984687868080098,0.050390164899882212,0.97394236664622935,0.47893492160812823,0.68949482139082641,54336,45668,3262,9.1126611709997878,6.5977594588881843,0.58003928638699775
0.80000000000000004,0.058707051446591614,0.051483260606505078,0.96943173821252637,0.28786945812807879,0.78170878459687132,54542,45472,3248,8.9966305655836347,6.7287605294825514,0.57210854160608515
0.84999999999999998,0.054040181844845284,0.049457398445519871,0.96500021984786533,0.11515631183221212,0.87315237839290516,54552,45486,3249,8.7820478366030645,6.8460091373286751,0.56194111982390982
0.87,0.050754910583406629,0.047749926707710347,0.96442879154743566,0.080783623156504517,0.89246424642464239,54576,45430,3245,8.7079207920792072,6.8776127612761275,0.55871817042827643
0.88,0.050276871172393559,0.049176720818511863,0.96257037297677694,0.062236101337086562,0.90222222222222215,54538,45472,3248,8.6858333333333331,6.8869444444444445,0.5577574827869145
0.90000000000000002,0.055009242144177448,0.048539741219963031,0.96085688161274874,0.051987634432011147,0.92736009044657997,54100,45934,3281,8.4821933295647263,6.9157716223855283,0.55086456918389082
0.91000000000000003,0.053502339806182984,0.048970116806072439,0.95456731820368179,0.051292142201233112,0.92944523470839258,54278,45738,3267,8.5544807965860592,6.9229018492176388,0.55270849034060621
0.92000000000000004,0.049420849420849421,0.050156278727707296,0.95623958607384019,0.049285275804612824,0.93620689655172418,54390,45612,3258,8.5267241379310352,6.9321839080459773,0.551573507816421
0.93000000000000005,0.051449918627015832,0.05000739754401539,0.95438321580917562,0.048620179333159222,0.94800693240901224,54072,45948,3282,8.4376083188908151,6.942518775274408,0.54860459001615147
0.93999999999999995,0.054447339039821359,0.049646445850390769,0.95016209206829483,0.04923276421007132,0.94862227324913884,53740,46270,3305,8.317164179104477,6.9443168771526977,0.544977525342762
0.94999999999999996,0.05289384320094493,0.051380481322899747,0.94198473282442752,0.050817884405670664,0.95564633790487297,54184,45850,3275,8.4012255617157869,6.9501021301429819,0.54726377615997268
0.95999999999999996,0.051729212656364973,0.049816041206769683,0.93148464537608977,0.049064704078503524,0.96109637488947819,54360,45654,3261,8.4694960212201593,6.9581491305629237,0.54898177511175639
0.96999999999999997,0.055475103041105048,0.04990531357914671,0.92315360610263519,0.048240291262135922,0.96742001761080121,53862,46144,3296,8.2929263281479315,6.9638978573525092,0.54355521354367065
0.97999999999999998,0.051263056522705387,0.053522483146899773,0.90169064279195099,0.0495892911469425,0.96280023432923256,53996,46018,3287,8.3898652606912716,6.9598711189220852,0.54658041370887722
0.98999999999999999,0.048235469670969186,0.047675893456688802,0.86839382705405643,0.051556168635227176,0.97384660593593897,53612,46396,3314,8.200411401704379,6.9729650308551276,0.54044737096930373
1.0,0.043492919757248817,0.049112160035963137,0.80273537986623222,0.051363402503858686,0.97313084112149539,53388,46648,3332,8.1121495327102799,6.9713785046728969,0.53781512605042014
