-2.000000000000000000e+00,3.886672609909204823e+00
-1.500000000000000000e+00,3.865518890337183322e+00
-1.000000000000000000e+00,3.859897900638205925e+00
-5.000000000000000000e-01,3.836323840078153857e+00
0.000000000000000000e+00,3.807789039872688797e+00
5.000000000000000000e-01,3.760151454429654816e+00
1.000000000000000000e+00,3.719816528539057643e+00
1.500000000000000000e+00,3.643873767977436451e+00
2.000000000000000000e+00,3.580979711553412770e+00
2.500000000000000000e+00,3.481963516900840716e+00
3.000000000000000000e+00,3.361485211461119782e+00
3.500000000000000000e+00,3.244551657846729498e+00
4.000000000000000000e+00,3.126008283667582432e+00
4.500000000000000000e+00,3.020252938780552121e+00
5.000000000000000000e+00,2.931887609951345119e+00
5.500000000000000000e+00,2.870217558545478997e+00
6.000000000000000000e+00,2.824779221760226111e+00
6.500000000000000000e+00,2.802637149836213482e+00
7.000000000000000000e+00,2.801438879751963817e+00
7.500000000000000000e+00,2.797096152183685902e+00
8.000000000000000000e+00,2.789429304359240636e+00
8.500000000000000000e+00,2.793058743261815025e+00
9.000000000000000000e+00,2.796901044622824628e+00
